iter,loss,lr,val_psnr,sec_per_100it
20700,0.009148,9.695e-05,,27.4
20800,0.008971,9.616e-05,,27.4
20900,0.008985,9.537e-05,,27.8
21000,0.008985,9.458e-05,,27.3
21100,0.009137,9.379e-05,,27.2
21200,0.008939,9.300e-05,,27.4
21300,0.008855,9.221e-05,,27.3
21400,0.008971,9.142e-05,,27.6
21500,0.008963,9.063e-05,,27.1
21600,0.008984,8.984e-05,,26.5
21700,0.009049,8.906e-05,,26.6
21800,0.008876,8.827e-05,,27.0
21900,0.008952,8.749e-05,,26.4
22000,0.008918,8.670e-05,,26.8
22000,,,35.1302,
22100,0.008980,8.592e-05,,33.2
22200,0.008960,8.514e-05,,26.4
22300,0.009007,8.436e-05,,26.3
22400,0.008874,8.358e-05,,26.2
22500,0.008966,8.280e-05,,26.2
22600,0.008938,8.202e-05,,25.7
22700,0.008944,8.124e-05,,26.1
22800,0.008941,8.047e-05,,26.0
22900,0.008894,7.969e-05,,25.9
23000,0.008947,7.892e-05,,27.2
23100,0.008960,7.815e-05,,26.1
23200,0.009081,7.738e-05,,26.7
23300,0.008908,7.661e-05,,26.6
23400,0.008814,7.584e-05,,26.2
23500,0.009008,7.507e-05,,26.2
23600,0.008774,7.431e-05,,26.3
23700,0.008987,7.355e-05,,26.6
23800,0.008944,7.279e-05,,26.2
23900,0.008869,7.203e-05,,26.5
24000,0.008940,7.127e-05,,26.1
24000,,,35.1330,
24100,0.008884,7.051e-05,,33.2
24200,0.008877,6.976e-05,,26.2
24300,0.008971,6.901e-05,,26.7
24400,0.008914,6.826e-05,,26.6
24500,0.008909,6.751e-05,,25.9
24600,0.008892,6.677e-05,,26.4
24700,0.008963,6.602e-05,,26.3
24800,0.008779,6.528e-05,,26.2
24900,0.008960,6.454e-05,,26.0
25000,0.008982,6.381e-05,,26.1
25100,0.008860,6.307e-05,,26.2
25200,0.008845,6.234e-05,,26.3
25300,0.008839,6.161e-05,,26.0
25400,0.008994,6.088e-05,,26.4
25500,0.008837,6.016e-05,,26.5
25600,0.008815,5.944e-05,,27.2
